"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Location Employee Size Actual","Location Sales Volume Actual"
"All Star Pizza Bar","","","1238 Cambridge St","Cambridge","MA","02139","Verified","042.373220","-071.098043","00006","$336,000"
"All Star Sandwich Bar","","","1238 Cambridge St","Cambridge","MA","02139","Verified","042.373220","-071.098043","00012","$671,000"
"Amelia's Trattoria","Delio","Sussi Jr","111 Harvard St","Cambridge","MA","02139","Verified","042.365109","-071.092863","00010","$560,000"
"Amuse","","","20 Sidney St","Cambridge","MA","02139","Verified","042.361660","-071.099663","00006","$336,000"
"Andala Coffee House","Sami","Herbawi","286 Franklin St","Cambridge","MA","02139","Verified","042.364725","-071.105745","00004","$224,000"
"Andys Diner","","","2030 Massachusetts Ave","Cambridge","MA","02140","Verified","042.390636","-071.122106","00005","$280,000"
"Angelo's Pizza","Claudio","DE Maestro","444 Broadway","Cambridge","MA","02138","Verified","042.372948","-071.110718","00002","$112,000"
"Anna's Taqueria","Michael","Kamio","822 Somerville Ave","Cambridge","MA","02140","Verified","042.391900","-071.129000","00027","$1,510,000"
"Anna's Taqueria","","","84 Massachusetts Ave","Cambridge","MA","02139","Verified","042.359051","-071.094757","00020","$1,119,000"
"Anthony's Pizza","Orhan A","Tas","43 Gore St","Cambridge","MA","02141","Verified","042.371810","-071.079458","00006","$336,000"
"Anytime Pizza","","","212 Western Ave","Cambridge","MA","02139","Verified","042.364632","-071.110611","00006","$336,000"
"Aramis 2 Lic","","","345 Cambridge St","Cambridge","MA","02141","Verified","042.371498","-071.081765","00006","$336,000"
"Arams House Of Pizza","","","345 Cambridge St","Cambridge","MA","02141","Verified","042.371498","-071.081765","00005","$280,000"
"Are Ma Region No Fifty Nine","","","1 Kendall Sq","Cambridge","MA","02139","Verified","042.366665","-071.090897","00006","$336,000"
"Area Four","Rachel","Isenberg","500 Technology Sq # 4","Cambridge","MA","02139","Verified","042.363896","-071.097043","00006","$336,000"
"Ariadne Clifton Inc","Ariadne","Clifton","16 Parker St","Cambridge","MA","02138","Verified","042.379913","-071.127769","00001","$56,000"
"Armando's Pizza","Rena","Bonavida","163 Huron Ave","Cambridge","MA","02138","Verified","042.382343","-071.131382","00003","$168,000"
"Artbar","Michael","Medeiros","40 Edwin H Land Blvd","Cambridge","MA","02142","Verified","042.366716","-071.075321","00010","$560,000"
"Artbar At The Royal Sonesta","","","90 Edwin H Land Blvd","Cambridge","MA","02142","Verified","042.363600","-071.082800","00006","$336,000"
"Asgard","Bill","Goodwin","350 Massachusetts Ave # 102","Cambridge","MA","02139","Verified","042.362468","-071.099644","00048","$2,575,000"
"Asmara Restaurant","Lettensa","Afeworki","739 Massachusetts Ave","Cambridge","MA","02139","Verified","042.366351","-071.105005","00005","$280,000"
"Atomic Bean Cafe","","","904 Massachusetts Ave","Cambridge","MA","02139","Verified","042.368179","-071.108727","00006","$336,000"
"Atwood's Tavern","","","877 Cambridge St","Cambridge","MA","02141","Verified","042.372758","-071.091455","00015","$839,000"
"Au Bon Pain","","","1100 Massachusetts Ave # 15","Cambridge","MA","02138","Verified","042.370391","-071.113703","00035","$1,957,000"
"Au Bon Pain","Mandesh","Shrestha","238 Main St","Cambridge","MA","02142","Verified","042.362083","-071.084702","00025","$1,398,000"
"Au Bon Pain","Rajan","Shrestsa","684 Massachusetts Ave","Cambridge","MA","02139","Verified","042.365722","-071.104536","00018","$1,007,000"
